name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin
chevrolet chevelle malibu,18,8,307,130,3504,12,70,usa
buick skylark 320,15,8,350,165,3693,11.5,70,usa
plymouth satellite,18,8,318,150,3436,11,70,usa
amc rebel sst,16,8,304,150,3433,12,70,usa
ford torino,17,8,302,140,3449,10.5,70,usa
ford galaxie 500,15,8,429,198,4341,10,70,usa
chevrolet impala,14,8,454,220,4354,9,70,usa
plymouth fury iii,14,8,440,215,4312,8.5,70,usa
pontiac catalina,14,8,455,225,4425,10,70,usa
amc ambassador dpl,15,8,390,190,3850,8.5,70,usa
dodge challenger se,15,8,383,170,3563,10,70,usa
plymouth 'cuda 340,14,8,340,160,3609,8,70,usa
chevrolet monte carlo,15,8,400,150,3761,9.5,70,usa
buick estate wagon (sw),14,8,455,225,3086,10,70,usa
toyota corona mark ii,24,4,113,95,2372,15,70,japan
plymouth duster,22,6,198,95,2833,15.5,70,usa
amc hornet,18,6,199,97,2774,15.5,70,usa
ford maverick,21,6,200,85,2587,16,70,usa
datsun pl510,27,4,97,88,2130,14.5,70,japan
volkswagen 1131 deluxe sedan,26,4,97,46,1835,20.5,70,europe
peugeot 504,25,4,110,87,2672,17.5,70,europe
audi 100 ls,24,4,107,90,2430,14.5,70,europe
saab 99e,25,4,104,95,2375,17.5,70,europe
bmw 2002,26,4,121,113,2234,12.5,70,europe
amc gremlin,21,6,199,90,2648,15,70,usa
ford f250,10,8,360,215,4615,14,70,usa
chevy c20,10,8,307,200,4376,15,70,usa
dodge d200,11,8,318,210,4382,13.5,70,usa
hi 1200d,9,8,304,193,4732,18.5,70,usa
datsun pl510,27,4,97,88,2130,14.5,71,japan
chevrolet vega 2300,28,4,140,90,2264,15.5,71,usa
toyota corona,25,4,113,95,2228,14,71,japan
ford pinto,25,4,98,,2046,19,71,usa
amc gremlin,19,6,232,100,2634,13,71,usa
plymouth satellite custom,16,6,225,105,3439,15.5,71,usa
chevrolet chevelle malibu,17,6,250,100,3329,15.5,71,usa
ford torino 500,19,6,250,88,3302,15.5,71,usa
amc matador,18,6,232,100,3288,15.5,71,usa
chevrolet impala,14,8,350,165,4209,12,71,usa
pontiac catalina brougham,14,8,400,175,4464,11.5,71,usa
ford galaxie 500,14,8,351,153,4154,13.5,71,usa
plymouth fury iii,14,8,318,150,4096,13,71,usa
dodge monaco (sw),12,8,383,180,4955,11.5,71,usa
ford country squire (sw),13,8,400,170,4746,12,71,usa
pontiac safari (sw),13,8,400,175,5140,12,71,usa
amc hornet sportabout (sw),18,6,258,110,2962,13.5,71,usa
chevrolet vega (sw),22,4,140,72,2408,19,71,usa
pontiac firebird,19,6,250,100,3282,15,71,usa
ford mustang,18,6,250,88,3139,14.5,71,usa
mercury capri 2000,23,4,122,86,2220,14,71,usa
opel 1900,28,4,116,90,2123,14,71,europe
peugeot 304,30,4,79,70,2074,19.5,71,europe
fiat 124b,30,4,88,76,2065,14.5,71,europe
toyota corolla 1200,31,4,71,65,1773,19,71,japan
datsun 1200,35,4,72,69,1613,18,71,japan
volkswagen model 111,27,4,97,60,1834,19,71,europe
plymouth cricket,26,4,91,70,1955,20.5,71,usa
toyota corona hardtop,24,4,113,95,2278,15.5,72,japan
dodge colt hardtop,25,4,97.5,80,2126,17,72,usa
volkswagen type 3,23,4,97,54,2254,23.5,72,europe
chevrolet vega,20,4,140,90,2408,19.5,72,usa
ford pinto runabout,21,4,122,86,2226,16.5,72,usa
chevrolet impala,13,8,350,165,4274,12,72,usa
pontiac catalina,14,8,400,175,4385,12,72,usa
plymouth fury iii,15,8,318,150,4135,13.5,72,usa
ford galaxie 500,14,8,351,153,4129,13,72,usa
amc ambassador sst,17,8,304,150,3672,11.5,72,usa
mercury marquis,11,8,429,208,4633,11,72,usa
buick lesabre custom,13,8,350,155,4502,13.5,72,usa
oldsmobile delta 88 royale,12,8,350,160,4456,13.5,72,usa
chrysler newport royal,13,8,400,190,4422,12.5,72,usa
mazda rx2 coupe,19,3,70,97,2330,13.5,72,japan
amc matador (sw),15,8,304,150,3892,12.5,72,usa
chevrolet chevelle concours (sw),13,8,307,130,4098,14,72,usa
ford gran torino (sw),13,8,302,140,4294,16,72,usa
plymouth satellite custom (sw),14,8,318,150,4077,14,72,usa
volvo 145e (sw),18,4,121,112,2933,14.5,72,europe
volkswagen 411 (sw),22,4,121,76,2511,18,72,europe
peugeot 504 (sw),21,4,120,87,2979,19.5,72,europe
renault 12 (sw),26,4,96,69,2189,18,72,europe
ford pinto (sw),22,4,122,86,2395,16,72,usa
datsun 510 (sw),28,4,97,92,2288,17,72,japan
toyouta corona mark ii (sw),23,4,120,97,2506,14.5,72,japan
dodge colt (sw),28,4,98,80,2164,15,72,usa
toyota corolla 1600 (sw),27,4,97,88,2100,16.5,72,japan
buick century 350,13,8,350,175,4100,13,73,usa
amc matador,14,8,304,150,3672,11.5,73,usa
chevrolet malibu,13,8,350,145,3988,13,73,usa
ford gran torino,14,8,302,137,4042,14.5,73,usa
dodge coronet custom,15,8,318,150,3777,12.5,73,usa
mercury marquis brougham,12,8,429,198,4952,11.5,73,usa
chevrolet caprice classic,13,8,400,150,4464,12,73,usa
ford ltd,13,8,351,158,4363,13,73,usa
plymouth fury gran sedan,14,8,318,150,4237,14.5,73,usa
chrysler new yorker brougham,13,8,440,215,4735,11,73,usa
buick electra 225 custom,12,8,455,225,4951,11,73,usa
amc ambassador brougham,13,8,360,175,3821,11,73,usa
plymouth valiant,18,6,225,105,3121,16.5,73,usa
chevrolet nova custom,16,6,250,100,3278,18,73,usa
